label,review
Negatif,"Akun resmi tidak menjamin kualitas HP yang bagus, sepertinya. Saya membeli HP ini dan ternyata tidak berfungsi dengan baik. Sinyalnya hilang tiba-tiba dalam beberapa menit. Selain itu, aplikasi Facebook bawaan memiliki email dan kata sandi yang tersimpan dari pengguna sebelumnya, padahal saya baru menggunakan HP ini setengah hari. Sayangnya, tidak ada solusi yang diberikan, dan permintaan pengembalian HP yang layak atau pengembalian dana ditolak. Saya diminta untuk membawa HP ke pusat servis, meskipun seharusnya HP ini baru dan masih segel. Jadi, sebelum Anda membeli, pertimbangkan dengan baik. Saya lebih baik berpikir dua kali daripada rugi seperti saya, membeli HP mahal tapi ternyata bermasalah."
Negatif,"Tolong bantuannya, mengapa ada banyak garis-garis pada kamera depan? Semua fiturnya baik, kamera belakang bagus, suaranya jelas, dan jaringannya stabil. Namun, masalah muncul saat menggunakan kamera depan. Ini sangat mengganggu saat melakukan video call atau mengambil foto dan video. Mohon bantuan."
Negatif,"Kualitas HP sangat buruk; meskipun HP ini masih baru, sudah mengalami kerusakan. Layarnya kabur seperti yang tergambar, dan HP tiba-tiba mati. Ketika saya mencoba mengajukan keluhan ke toko, responsnya sangat lama, dan mereka tidak memberikan solusi apa pun. Saya sudah cukup kecewa dan tidak ingin membeli lagi. Rasanya saya adalah korban dalam hal ini."
Negatif,"Setelah beberapa hari, handphone POCO yang saya terima tiba-tiba mati dan hanya menampilkan layar hitam. Saya telah mengajukan permohonan pengembalian. Namun, hingga saat ini, handphone POCO saya belum dikirim kembali."
Negatif,"Saya merasa ditipu oleh POCO! Mereka tidak konsisten dengan apa yang mereka ucapkan saat peluncuran produk! Padahal, harga Early Bird masih berlaku, tetapi harga sudah naik menjadi harga normal! Akibatnya, saya merugi sebesar 200 ribu rupiah. Seharusnya harganya 4,3 juta rupiah, tetapi sekarang menjadi 4,5 juta rupiah! Dengan harga 4,5 juta, lebih baik saya membeli Redmi Note 12 Pro 5G sekaligus, karena dapat dilengkapi dengan prosesor Dimensity 1080!"
Negatif,"HP nya ga ngebaca SIM card. Padahal sim card di taro di hp lain kebaca. Saya komplain ga ditanggapi. Jelek bgt barangnya ga bisa baca sim card!"
Negatif,"Setelah hampir satu bulan pemakaian, HP ini menjadi sangat lambat, bahkan untuk menjalankan WhatsApp saja sering mengalami error. Performanya tidak sebanding dengan harganya. Sayang sekali. Saya harap kualitasnya bisa diperbaiki. Bagi yang akan membeli, pertimbangkan dengan baik dan mungkin siapkan budget tambahan. Maaf kepada penjual, tetapi kejujuran dalam ulasan ini penting agar pembeli lain tidak merasa menyesal."
Negatif,"HP Baru udah ngga ada suaranya, di chat nyaranin di balikin, pas udah di balikin malah di tolak sepihak dan malah suruh pergi ke servis center, ternyata kena ic audio nya kalo servis center padahal di kota aku ngga ada SC infinix, kalo di cek di servis hp lain juga abis 300an pantes aja di tolak ga mau rugi ternyata toko ini, kalo hp rusak ngga usah di kirim donk kalo ngga mau tanggung jawab, baru kali ini belanja di official nya lngsung tapi model ny kaya gini ngg jamin, pikiri pikir lagi deh belanja d sini lagi"
Negatif,"Sayang sekali. Fitur gyroscope pada Infinix Hot 30 memiliki delay yang sangat terasa. Pengalaman bermain game dengan gyro menjadi tidak nyaman. Kemarin, saya mencoba pergi ke Carlcare yang terletak di Plaza Mall Simpang Lima Semarang untuk menanyakan masalah fitur gyroscope yang ada di Hot 30 ini. Namun, mereka hanya melakukan factory reset dan hasilnya tetap sama, gyroscope masih mengalami delay. Bahkan, petugasnya menyarankan saya untuk mencari HP dengan seri yang sama untuk dibandingkan terkait gyroscopenya. Ini benar-benar sangat mengecewakan."
Negatif,"Spesifikasi tidak sejalan dengan kinerja, UI, dan antarmuka pengguna. Xiaomi di kelas yang sama lebih disarankan. 👍 Pelayanan kurang memuaskan, klaim garansi atau pengembalian hanya seolah-olah, sementara sebenarnya tidak mendapatkan respons yang memadai, meskipun sudah memenuhi standar kebijakan. Sekali lagi, bagi mereka yang belum membeli, lebih baik memilih Xiaomi di kelas produk ini. Terima kasih."
Negatif,"Spesifikasinya seolah-olah hanya menjadi gimmick belaka. Saat bermain Mobile Legends, lag-nya sangat parah, meskipun saya sudah mengatur pengaturan grafisnya ke yang paling rendah. Saya sangat menyesal membeli Infinix Hot 20 5G ini. Saya harap tidak ada yang membeli ini, jangan seperti saya yang menyesal setelah melihat ulasan positif di YouTube. Ternyata tidak sebagus yang diiklankan, hanya sekadar gimmick. Percuma memiliki desain cover khusus untuk Mobile Legends jika performanya sangat lag dan tidak memadai."
Negatif,"Ini adalah HP paling buruk yang pernah saya beli di Shopee. Ini bermasalah. Bagaimana ya, saya tidak bisa menggunakan HP ini sama sekali. Layarnya sudah saya sentuh berkali-kali, tetapi tidak ada respons, hanya bergetar terus"
Negatif,"HP baru dipakai selama 3 hari dan sudah mengalami masalah ngehang yang tidak jelas dan kedip-kedip. Saya mengajukan keluhan dan diminta untuk mengembalikannya, namun permohonan pengembalian saya ditolak dengan sangat tidak adil. Sepertinya mereka dengan sengaja memberikan barang yang rusak! Ini benar-benar mengecewakan! Sepertinya mereka pikir kami membeli produk ini hanya untuk bercanda. "
Negatif,"Handphone ini sangat lambat, bahkan untuk tugas-tugas dasar seperti membuka aplikasi dan browsing."
Negatif,"Kamera handphone ini sangat buruk, hasil fotonya kabur dan tidak tajam."
Negatif,"Baterai handphone ini sangat cepat habis, bahkan dengan penggunaan yang wajar."
Negatif,"Handphone ini sering hang atau restart sendiri."
Negatif,"Handphone ini tidak sesuai dengan deskripsi atau spesifikasi yang tertera."
Negatif,"Saya tidak akan merekomendasikan handphone ini kepada siapa pun"
Negatif,"Saya sangat kecewa dengan kualitas kamera pada handphone ini. Gambar-gambar yang dihasilkan sangat buram dan tidak tajam sama sekali"
Negatif,"Desainnya terlalu licin dan tipis, membuatnya sulit untuk digenggam dengan nyaman tanpa case tambahan."
Negatif,"Sistem operasinya tidak pernah mendapatkan pembaruan terbaru, dan saya merasa kurang aman dari segi keamanan."
Negatif,"Harga handphone ini terlalu tinggi untuk kualitas dan fitur yang ditawarkan"
Negatif,"kualitas panggilan suaranya sangat buruk, sering terdengar suara berisik dan gangguan"
